run,sample,sample_in_trigger_record,time_in_1ms_period_us,s11_mag_db,s11_phase_unwrapped_deg,master_power,slave_power,state,block_index,pulse_number_in_second,temp_C
PBS2_96R · 18:05:02,PBS2_96R,34,34.0,-7.4375642083301425,-37.20605711437238,22.156456263527154,3.997089557895096,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,35,35.0,-7.437902802306825,-37.21525722481854,22.123942293167534,3.990912782250017,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,36,36.0,-7.439048612936028,-37.22171558200672,22.13496778903446,3.991848340047445,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,37,37.0,-7.439789288724884,-37.22029965069979,22.081426472845514,3.981513538045548,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,38,38.0,-7.440860537612303,-37.21806796385251,22.108929613516068,3.9854894449932017,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,39,39.0,-7.442620252468581,-37.22089767682841,22.06466959670604,3.97589954806704,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,40,40.0,-7.441642287437506,-37.227836433943935,22.075225109435348,3.978697419025656,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,41,41.0,-7.440265180326291,-37.23732752155452,22.08314003849763,3.98138621535932,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,42,42.0,-7.441232960657818,-37.25294821547953,22.029647946953524,3.9708571222074114,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,43,43.0,-7.442482285167613,-37.25993446081119,22.140458729320866,3.989682963907076,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,44,44.0,-7.443508892222413,-37.258472664321175,21.9611926649352,3.956444088754653,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,45,45.0,-7.446117233682019,-37.25932714753202,22.221114735750607,4.000867036605791,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,46,46.0,-7.447471999242579,-37.25929539778821,21.830897404013008,3.929383242725748,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,47,47.0,-7.450270923071992,-37.264519665450365,22.37913761306929,4.025466849896152,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,48,48.0,-7.451622527881302,-37.27023975833314,14.264435196698114,2.5650292834515915,Treatment,26898,898,36.891418876028055
PBS2_96R · 18:05:02,PBS2_96R,49,49.0,-7.452755623298963,-37.28702863126241,8.171033557531157,1.468931120373968,Treatment,26898,898,36.891418876028055
PBS3_96 · 18:18:43,PBS3_96,2,2.0,-8.779174906103147,-43.838338376211794,8.094407045621324,1.0721796239090082,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,3,3.0,-8.780205226586123,-43.84360391234784,14.12100984988092,1.8700156163193573,Treatment,16728,728,37.0693527271749
