run,run_name,sample,status,duration_s,temperature_start_C,temperature_end_C,temperature_rise_C,temperature_min_C,temperature_max_C,median_s11_db,phase_change_deg,global_points,selected_second_pulses,selected_second_bin,selected_second_start_s,selected_second_stop_s,selected_pulse_samples,selected_pulse_number,selected_pulse_time_ms,selected_pulse_state,selected_pulse_temperature_C,selected_pulse_s11_db,selected_pulse_phase_deg,treatment_duty_pct,cooling_duty_pct,blocks_written,dropped_blocks,shared_lo_verified,reason
PBS5_96 · 18:26:50,20260722_182650_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS5_96,PBS5_96,Included,113.000477,30.71166024918521,38.01926954218063,7.307609292995419,30.71166024918521,38.53801571616733,-6.455756404568826,-0.1491887704942485,114.0,1001.0,9.0,8.5,9.5,47.0,448.0,446.9999999999992,Treatment,36.675567538887236,-9.056116996191117,-38.96010250514187,5.0,0.5,120000.0,0.0,True,
PBS6_96_300ul · 18:31:36,20260722_183136_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS6_96_300ul,PBS6_96_300ul,Included,113.9399775,30.28923669005349,35.31473432618793,5.025497636134443,30.28923669005349,37.29143059845585,-6.452129038766104,1.8135159691339737,115.0,1001.0,23.0,22.5,23.5,47.0,850.0,848.9990000000028,Treatment,36.6278925115098,-8.752388535663423,-47.59551657510264,5.0,0.5,120000.0,0.0,True,
DMEM7_96 · 18:40:56,20260722_184056_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM7_96,DMEM7_96,Included,113.0009775,29.125228965431457,35.6498320223458,6.524603056914341,29.125228965431457,37.16678788155655,-5.740811011094789,0.12804307273337656,114.0,1001.0,29.0,28.5005005,29.5005005,47.0,120.0,118.9990000000023,Treatment,36.85096914936577,-6.771067470220082,-47.688322293766326,5.0,0.5,120000.0,0.0,True,
DMEM8_96 · 18:45:06,20260722_184506_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM8_96,DMEM8_96,Included,113.000977,29.009184079104006,35.60690385157875,6.597719772474743,29.009184079104006,37.75581882893834,-5.77056310676001,-0.3772566610296053,114.0,1001.0,21.0,20.5005,21.5005,47.0,962.0,960.9999999999984,Treatment,36.78700885114771,-6.982901573816674,-44.42302621278469,5.0,0.5,120000.0,0.0,True,
OIL1_96 · 18:53:55,20260722_185355_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_OIL1_96,OIL1_96,Included,112.999999,27.51690140923956,28.249401223665465,0.732499814425907,27.51690140923956,28.249401223665465,-2.6102376427829665,-0.08411125833586652,114.0,1000.0,57.0,56.500499,57.500499,47.0,501.0,500.0009999999975,Treatment,27.99630122843024,-2.610269951188056,34.7319084447179,5.0,0.5,120000.0,0.0,True,
OIL2_96 · 18:56:25,20260722_185625_ModeTrigger_SR1M_AWG1000Hz_Duty15_TxPm2p4dBm_CoolDuty0.5_rawfirst_OIL2_96,OIL2_96,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,No valid pulse-gate S11 remained after the notebook quality filters.
OIL3_96 · 19:01:07,20260722_190107_ModeTrigger_SR1M_AWG1000Hz_Duty15_TxPm2p4dBm_CoolDuty0.5_rawfirst_OIL3_96,OIL3_96,Included,281.0000005,28.829354039964887,28.55140327981151,-0.2779507601533773,28.538213661400217,28.958944715322627,-2.5393410358034014,0.014006735918059121,282.0,1000.0,141.0,140.5005,141.5005,2.0,501.0,500.00049999999874,Cooling,28.703873496559304,-2.5392393342905257,33.38853201484671,15.0,0.5,300000.0,0.0,True,
DMEM1_24 · 19:12:01,20260722_191201_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM1_24,DMEM1_24,Included,292.9995,29.64941606953296,35.309654929481944,5.660238859948983,29.64941606953296,37.00998676572824,-5.698502734359407,6.187387246295884,294.0,1000.0,83.0,82.5,83.5,47.0,201.0,201.0000000000076,Treatment,36.80980101718577,-6.545860113338388,-35.50121854015533,5.0,0.5,300000.0,0.0,True,
DMEM2_24 · 19:18:19,20260722_191819_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM2_24,DMEM2_24,Included,293.000001,29.60489560980613,35.14679596049797,5.5419003506918365,29.60489560980613,36.9920411562816,-5.45325312430144,4.62139558437017,294.0,1001.0,76.0,75.50050100000001,76.50050100000001,47.0,589.0,587.9999999999939,Treatment,36.83277188651999,-6.766657806924487,-39.11020265711544,5.0,0.5,300000.0,0.0,True,
DMEM3_24R · 19:31:22,20260722_193122_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_DMEM3_24R,DMEM3_24R,Included,296.999999,30.24770572990485,36.64597708416044,6.398271354255591,30.24770572990485,36.82033773836432,-5.492790735595614,0.5417131378797535,298.0,1000.0,5.0,4.500499,5.500499,2.0,59.0,58.00100000000086,Cooling,30.405474542537966,-5.268229120536557,-49.23604649609982,5.0,0.5,305000.0,0.0,True,
PBS1_24R · 19:39:41,20260722_193941_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS1_24R,PBS1_24R,Included,298.9255005,28.639934309933157,35.14872572258577,6.5087914126526165,28.639934309933157,37.32697912814548,-6.330512035530653,5.427184495312048,300.0,1000.0,5.0,4.5005005,5.5005005,2.0,58.0,56.99949999999987,Cooling,28.894299389854528,-5.883593517492463,-57.5478089173432,5.0,0.5,305000.0,0.0,True,
PBS2_24 · 19:46:19,20260722_194619_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS2_24,PBS2_24,Included,297.999523,28.9968834467866,36.07122299549312,7.074339548706522,28.9968834467866,37.48069762975551,-6.385082680801446,23.737450990649336,299.0,1000.0,5.0,4.5,5.5,2.0,124.0,123.00049999999985,Cooling,29.241707129007334,-5.948432799138095,-58.46383280155203,5.0,0.5,305000.0,0.0,True,
PBS3_24 · 19:53:04,20260722_195304_ModeTrigger_SR1M_AWG1000Hz_Duty5_TxPm2p4dBm_CoolDuty0.5_rawfirst_PBS3_24,PBS3_24,Included,299.6845,28.96663062909555,35.98843617382292,7.021805544727368,28.96663062909555,36.9532473143117,-6.299376105810288,7.245533087955238,301.0,999.0,5.0,4.5005,5.5005,2.0,112.0,112.0000000000001,Cooling,29.312666104793735,-5.940264226373515,-59.91121445985802,5.0,0.5,305000.0,0.0,True,
